mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2021,43,43eb757d86edf3ff1111a8271c15e470bcc07961,d6038c4e4be45ccf966cec2124422c8d0ba1fd4c,70102,,
2022,02,43eb757d86edf3ff1111a8271c15e470bcc07961,d6038c4e4be45ccf966cec2124422c8d0ba1fd4c,70102,,
2023,07,43eb757d86edf3ff1111a8271c15e470bcc07961,d6038c4e4be45ccf966cec2124422c8d0ba1fd4c,70102,,
2021,04,0f9ba8349f8f7abf4fdfac1aa679b620d8a69c1e,89827648f73ffb8877f216fa972c5eaafd915760,6420,,
2021,46,0f9ba8349f8f7abf4fdfac1aa679b620d8a69c1e,89827648f73ffb8877f216fa972c5eaafd915760,6420,,
2023,02,0f9ba8349f8f7abf4fdfac1aa679b620d8a69c1e,89827648f73ffb8877f216fa972c5eaafd915760,6420,,
2021,41,6eca9bd9bc2303168858e6caf9e15c5732cd0bc8,84dd1575d6c03c1af3c329933be4e1ab8ae7bb44,6420,,
2022,38,6eca9bd9bc2303168858e6caf9e15c5732cd0bc8,84dd1575d6c03c1af3c329933be4e1ab8ae7bb44,6420,,
2022,25,38e460aa3641d155ecbca447f4bd100fdb45b80e,39431447d63d977b5a92f8d30d17d16d1c150c2e,43999,82999,
2021,22,15da5b3ef3a9ee94a5a045ef61cc260bd8ff4f47,2f462343b26e9b308506d675d08f4065ed12a349,9529,,
2021,05,71a0ea0c632a72b6daf174f2bafaf68f61b4709e,bccd817b232bc185b7441bf4f85114f5bd1a0bac,6832,,
2021,15,71a0ea0c632a72b6daf174f2bafaf68f61b4709e,bccd817b232bc185b7441bf4f85114f5bd1a0bac,6832,,
2021,29,71a0ea0c632a72b6daf174f2bafaf68f61b4709e,bccd817b232bc185b7441bf4f85114f5bd1a0bac,6832,,
2021,44,435d1e83a66eee83d4abcb499323d8f9e576de70,32469e5cda80d69aeabaeecc65bd3dfbcec6ea53,8891,,
2021,20,f17c9129aabe3af6df566595373f778b08042817,2c399a4252805cd182ceffcea0ef325893fa5cfe,2511,2221,46741
2022,07,f17c9129aabe3af6df566595373f778b08042817,2c399a4252805cd182ceffcea0ef325893fa5cfe,2511,2221,46741
2021,47,b9232ee328abe087659f788254dbc3699c4a5244,da65828e811b31686af7e3e7a2267e6c12289494,64303,,
2023,04,b9232ee328abe087659f788254dbc3699c4a5244,da65828e811b31686af7e3e7a2267e6c12289494,64303,,
2021,11,2060194b0928861cd1b2e5b160947b208a6987ad,5fd980683cbec536263a0aad4928b6c2b0273c87,6420,,
2022,49,2060194b0928861cd1b2e5b160947b208a6987ad,5fd980683cbec536263a0aad4928b6c2b0273c87,6420,,
2021,37,303be19145ad1602e7f9c2f77c6908a59da8e3ad,90023032a24a43527d169596d181c24ff0f1224a,64303,,
2022,36,303be19145ad1602e7f9c2f77c6908a59da8e3ad,90023032a24a43527d169596d181c24ff0f1224a,64303,,
