code,descr_short_nl,descr_short_en,status
2020,Verv. verdelgingsmid./ov.landbouwchem.,Manufacture of pesticides and other agrochemical products,1
203,Verv. verf/vernis e.d./drukinkt/mastiek,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",1
2030,Verv. verf/vernis e.d/drukinkt/mastiek,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",1
204,Verv. zeep/was-/poetsmiddelen/cosmetica,"Manufacture of soap and detergents, cleaning and polishing preparations, perfume",1
2041,Verv. zeep/wasmid./poets-/reinigingsmid.,"Manufacture of soap and detergents, cleaning and polishing preparations",1
2042,Vervaardiging van parfums en cosmetica,Manufacture of perfumes and toilet preparations,1
205,Verv. overige chemische producten,Manufacture of other chemical products,1
2051,Verv. kruit/springstoffen/lucifers,Manufacture of explosives,1
20510,Vervaardiging van kruit en springstoffen en van lucifers,Manufacture of explosives,1
205101,Vervaardiging van kruit en springstoffen,Manufacture of gunpowder and explosives,1
205102,Vervaardiging van lucifers,Manufacture of matches,1
2052,Verv. lijm en bereide kleefmiddelen,Manufacture of glues,1
2053,Vervaardiging van etherische oliën,Manufacture of essential oils,1
2059,Verv. overige chemische producten n.e.g.,Manufacture of other chemical products n.e.c.,1
20590,Vervaardiging van  overige chemische producten n.e.g.,Manufacture of other chemical products n.e.c.,1
205901,Verv. gelatine en derivaten daarvan,Manufacture of gelatin and its derivatives,1
2059011,Vervaardiging van chemisch gewijzigde oliën en vetten,Manufacture of of chemically modified oils and fats,1
2059012,Verv. van speciale synth. smeeroliën en additieven voor smeerolie,Manuf. of special synth. lubricating oils and lubricating oil additives,1
205902,Verv. fotochemische producten,Manufacture of photochemical products,1
205903,Verv. overige chemische producten n.e.g.,Manufacture of chemical products n.e.c.,1
206,Verv. synthetische en kunstmatige vezels,Manufacture of man-made fibres,1
2060,Verv. synthetische en kunstmatige vezels,Manufacture of man-made fibres,1
21,Verv. farmaceutische grondstoffen/prod.,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
211,Verv. farmaceutische grondstoffen,Manufacture of basic pharmaceutical products,1
2110,Verv. farmaceutische grondstoffen,Manufacture of basic pharmaceutical products,1
212,Verv. farmaceutische producten,Manufacture of pharmaceutical preparations,1
2120,Verv. farmaceutische producten,Manufacture of pharmaceutical preparations,1
21200,Vervaardiging van farmaceutische producten (geen grondstoffen),Manufacture of pharmaceutical preparations,1
212001,Verv. farmaceut.prod. (geen grondst),Manufacture of pharmaceutical preparations,1
212002,Verv. radioactieve elementen (medisch),Manufacture of radioactive elements for medical use,1
22,Verv. producten van rubber en kunststof,Manufacture of rubber and plastic products,1
221,Vervaardiging van producten van rubber,Manufacture of rubber products,1
2211,Verv. rubberbanden/loopvlakvernieuwing,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,1
22110,Verv. van rubberbanden en loopvlakvernieuwing,Manuf. of rubber tyres and tubes; retreading/rebuilding of rubber tyres,1
221101,Vervaardiging van rubberbanden,Manufacture of rubber tyres,1
221102,Vernieuwen van loopvlakken,Retreading of tyres,1
2219,Verv. producten van rubber (geen banden),Manufacture of other rubber products,1
222,Verv. producten van kunststof,Manufacture of plastics products,1
